date,price_open,price_high,price_low,price_close,market_cap_last,volume_sum,target_high_tplus1,ret_open_close,logret_close,range_abs,range_pct,body_abs,upper_shadow,lower_shadow,price_close_sma_3,price_close_ema_3,price_close_std_3,price_close_sma_5,price_close_ema_5,price_close_std_5,price_close_sma_7,price_close_ema_7,price_close_std_7,price_close_sma_14,price_close_ema_14,price_close_std_14,price_close_sma_21,price_close_ema_21,price_close_std_21,range_abs_sma_3,range_abs_ema_3,range_abs_std_3,range_abs_sma_5,range_abs_ema_5,range_abs_std_5,range_abs_sma_7,range_abs_ema_7,range_abs_std_7,range_abs_sma_14,range_abs_ema_14,range_abs_std_14,volume_sum_sma_3,volume_sum_ema_3,volume_sum_std_3,volume_sum_sma_5,volume_sum_ema_5,volume_sum_std_5,volume_sum_sma_7,volume_sum_ema_7,volume_sum_std_7,volume_sum_sma_14,volume_sum_ema_14,volume_sum_std_14,rsi_14,macd,macd_signal,macd_hist,tr,atr_14,vol_mc_ratio,close_to_high_pct,close_to_low_pct,lag_close_1,lag_high_1,lag_vol_1,lag_close_2,lag_high_2,lag_vol_2,lag_close_3,lag_high_3,lag_vol_3,lag_close_7,lag_high_7,lag_vol_7,intraday_volatility,intraday_rel_volatility,intraday_momentum,volume_ratio,volume_asym,marketcap_change,hour_peak_price,hour_trough_price,volume_mean,volume_std,price_skew,price_kurtosis
2024-11-22,98529.80211326091,99531.18012036204,97393.85345172636,98853.46617956244,1954774761690.7744,2508442948934.4585,98907.83827505098,0.0032849357185298408,0.004178572574643269,2137.32666863568,0.02169218472781264,323.6640663015278,677.7139407996001,1135.9486615345522,97165.36317140811,97200.51263713777,2575.161467567821,94879.84053358111,95563.08886973967,3627.218851875731,93498.41347705599,94130.925997196,3796.156261709619,89740.74952047564,89650.7967017611,5905.71987165862,83801.64563075575,86156.76821713432,10061.161691260937,3055.2610558772576,2849.035508225188,1065.8650785612065,3044.0580442655073,2969.2672592593062,786.1009111566985,2662.60418737972,3042.2678819167936,991.5645222811792,3509.8310967703605,3047.5603352151616,1830.762014261981,2342603821929.928,2351762590615.104,275921565481.55176,2090724074014.0845,2233458335507.3066,438212485400.6396,1903376932106.2297,2177788918855.2012,505262975948.08264,2158163116451.8652,2043563230490.0989,793607432558.7074,82.85824591338864,6610.543455763327,5485.513437273453,1125.0300184898742,2137.32666863568,3520.6843406733583,1.2832388662337706,0.0068090616425932815,0.014986702713837508,98441.26161000448,98441.26161000448,2495280837909.563,94201.36172465736,94677.29717634009,2024087678945.7632,91757.21183148149,93799.17681078352,1977507695952.941,91238.90450238356,91665.90886209448,2232282256912.132,508.37731952772776,0.02169218472781264,0.0032849357185298408,1.188243812343654,1.1706892114729568,0.0036288029730775673,20,15,104518456205.60243,10061090376.302633,-1.0476866432774505,1.2951069746923989
2024-11-23,98907.79325258997,98907.83827505098,97627.80481379767,97795.77021667769,1933984979836.8809,1673216285931.2554,98553.76752974807,-0.011243027463694431,-0.010757287258218895,1280.0334612533043,0.012941684564575864,1112.0230359122797,0.04502246101037599,167.96540288001415,98363.49933541489,97498.14142690774,533.1185759164822,96209.8143124767,96307.31598538568,3096.0886218474884,94538.53145137556,95047.13705206642,3839.6632571309738,91251.49728642005,90736.79317041664,4921.283679067478,85160.55148047177,87214.85930800189,9924.968507401236,2547.1998145171433,2064.534484739246,1514.2932417884365,2757.6601305777526,2406.189326590639,1125.0816885709537,2696.142641664225,2601.709276750921,929.7885831816615,3554.0010827295087,2811.8900853535806,1762.9637007399297,2225646690925.0923,2012489438273.1797,478464026404.17957,2135707089534.7961,2046710985648.623,360419542259.58856,1898362906888.319,2051645760624.2148,507689639777.28815,2201584504805.344,1994183637882.2532,744313337024.3528,78.92084362769828,6675.646673207215,5723.540084460205,952.1065887470095,1280.0334612533043,3564.854326632507,0.8651650883412654,0.011243477541999863,0.001720466860853515,98853.46617956244,99531.18012036204,2508442948934.4585,98441.26161000448,98441.26161000448,2495280837909.563,94201.36172465736,94677.29717634009,2024087678945.7632,90514.94439644078,91453.604121957,1708314462456.6287,395.4860820307209,0.012941684564575864,-0.011243027463694431,1.2891200125744233,1.388845459157321,-0.012910970392061866,15,20,69717345247.13564,13643233293.794382,-0.8434740798059761,-0.7310849958241632
2024-11-24,97903.58813942043,98553.76752974807,95903.66256158016,98185.22555498005,1941584276375.3848,1153104617368.969,98567.62400727392,0.0028766812423518637,0.003974424657078757,2650.104968167914,0.02706851728860039,281.63741555961315,368.541974768028,1999.925577840273,98278.15398374006,97841.68349094389,534.9364047520636,97495.4170571764,96933.28584191714,1881.2075679387447,95768.59977708048,95831.65917779482,3329.8105928048644,92507.58238552557,91729.91748835843,4182.213748629853,86554.59763308882,88212.16533045445,9578.255013807106,2022.4883660189662,2357.31972645358,692.2173504945773,2619.184319410598,2487.494540449731,1076.6738827376892,2735.7755215355364,2613.8081996051696,919.5590908127691,3446.3207876711217,2790.3187363954917,1769.2863379240864,1778254617411.5608,1582797027821.0742,683747238797.2084,1970826473818.002,1748842196222.0718,575361075488.9985,1897134467624.3782,1827010474810.4033,509775306404.44385,2187979115595.8503,1882039768480.482,762716674535.5623,79.31069710257141,6681.6453842519695,5915.161144418558,766.4842398334113,2650.104968167914,3457.0740962999253,0.5938988234503133,0.0037395016345446665,0.023790154958210116,97795.77021667769,98907.83827505098,1673216285931.2554,98853.46617956244,99531.18012036204,2508442948934.4585,98441.26161000448,98441.26161000448,2495280837909.563,89574.7472750456,91439.33865680736,1161703692216.5557,869.4339151187795,0.02706851728860039,0.0028766812423518637,1.1369003556176507,0.9224379681184562,0.003637830838309099,8,18,48046025723.707054,3640024476.5339527,-0.46907944438011395,-1.2983949831629107
2024-11-25,98025.77577156796,98567.62400727392,93474.36970924772,94285.27104790804,1863532987777.768,1567796693856.3608,94749.6371475018,-0.03815837920402198,-0.040530766497276716,5093.254298026193,0.05195831665637758,3740.5047236599203,541.8482357059547,810.9013386603183,96755.4222731886,96063.47726942596,2148.0582329045287,97512.19892182654,96050.61424391411,1844.4915537146524,96217.08116646737,95445.06214532313,2767.333425320616,92948.16885679387,92070.63129629838,4005.2630556463673,87814.55644700011,88764.26585022295,8690.598357910836,3007.797575815804,3725.2870122398867,1931.6110604037735,3076.9917419491076,3356.081126308552,1555.2936632704057,3075.9514170118387,3233.6697242104256,1279.3642985660117,3261.4604106614247,3097.376811279585,1386.5780100962334,1464705865718.8616,1575296860838.7175,274954225423.4668,1879568276800.121,1688493695433.5015,600440967893.7897,1914205251271.33,1762207029571.8926,493996857466.0187,2132185434504.6152,1840140691863.9326,778446401580.8507,66.12253586754784,6299.09364009893,5991.947643554633,307.1459965442973,5093.254298026193,3272.213719290228,0.8413034296355184,0.043445837337520214,0.008675119620304785,98185.22555498005,98553.76752974807,1153104617368.969,97795.77021667769,98907.83827505098,1673216285931.2554,98853.46617956244,99531.18012036204,2508442948934.4585,91145.9013221998,92154.97215688135,1448301208327.6963,1635.2557471063433,0.05195831665637758,-0.03815837920402198,1.4739644482528402,0.7990881020026662,-0.038729551641931086,10,22,68165073645.928734,14750925523.048628,-0.7083036903115765,-1.0497548792702158
2024-11-26,92958.83651055662,94749.6371475018,90911.13567641751,91798.21404384292,1816855529824.731,2783956739956.929,96666.004393086,-0.012485337707318404,-0.026732142369974454,3838.5014710842806,0.04129248617099862,1160.6224667136994,1790.800636945176,887.0783674254053,94756.23688224367,93930.84565663444,3219.4464778410133,96183.58940859423,94633.14751055706,3023.6172823665866,96222.93862537613,94533.35011995307,2756.3417094302795,93211.2778744061,92034.30899597099,3777.8545583339005,88879.57207250052,89040.07932237022,7631.167304198972,3860.6202457594627,3781.894241662084,1221.724843056563,2999.8441734334747,3516.887907900462,1492.4572737738856,3146.8110523090663,3384.8776609288893,1309.9575940748769,3273.1061962621793,3196.193432586878,1391.0002795063515,1834952683727.42,2179626800397.8232,847613652338.3772,1937303457209.5945,2053648043607.9775,682690852948.7444,2029412257557.614,2017644457168.1519,594943869005.5593,2059249986153.6948,1965982831609.6655,646265614211.6566,59.34534073084454,5729.191359995486,5939.396386842804,-210.20502684731764,3838.5014710842806,3283.8595048909824,1.5322939519717855,0.03114970349769507,0.009757642568483662,94285.27104790804,98567.62400727392,1567796693856.3608,98185.22555498005,98553.76752974807,1153104617368.969,97795.77021667769,98907.83827505098,1673216285931.2554,91757.21183148149,93799.17681078352,1977507695952.941,1141.1423271362978,0.04129248617099862,-0.012485337707318404,1.0658623797871722,0.9707224927109317,-0.011380699948510396,2,21,115998197498.20538,5343877735.149397,-0.14144242623590236,-1.178011820086656
2024-11-27,91966.1254608226,96666.004393086,91933.92643871944,96170.73566599475,1904989663178.5063,2138873331168.2688,96614.05040446683,0.045719118687492274,0.0465322657592413,4732.077954366556,0.051454575591340014,4204.610205172154,495.2687270912429,32.19902210315922,94084.7402525819,95050.79066131459,2193.14746060354,95647.0433058807,95145.67689570296,2645.825037949489,96504.27775985292,94942.69650646349,2612.3555059945975,93667.96503704904,92585.83255197416,3716.7338843468415,89854.81440006233,89688.32080815427,7155.188870017516,4554.61124115901,4256.98609801432,645.9272326680397,3518.7944305796495,3921.9512567224933,1566.833226202219,3422.219733599482,3721.677734288306,1423.6504949486687,3189.9842604527576,3400.978035490835,1249.8273023121117,2163542254993.8533,2159250065783.046,608455200721.3589,1863389533656.3567,2082056472794.7415,622772221081.7426,2045810207875.115,2047951675668.1812,596352855514.267,1990199036530.061,1989034898217.4792,573406636209.8453,65.95252359584597,5566.201938205806,5864.7574971154045,-298.5555589095984,4867.790349243078,3210.431311572741,1.1227742451890914,0.005123504692272838,0.04608537230376482,91798.21404384292,94749.6371475018,2783956739956.929,94285.27104790804,98567.62400727392,1567796693856.3608,98185.22555498005,98553.76752974807,1153104617368.969,94201.36172465736,94677.29717634009,2024087678945.7632,1629.941660947742,0.051454575591340014,0.045719118687492274,1.1621502003482476,1.1945150322483018,0.04728504284782231,21,1,89119722132.01118,9495658898.223871,0.36393854104238677,-1.4231887425285712
2024-11-28,95951.2085932291,96614.05040446683,94760.40084653812,95690.73120439636,1894272242330.5415,1889004341322.6172,98658.9345586154,-0.002714685855985284,-0.005003667186585403,1853.6495579287148,0.019318668155468337,260.4773888327327,662.8418112377403,930.3303578582418,94553.22697141134,95370.76093285548,2397.95188527423,95226.03550342443,95327.36166526742,2371.718995391853,96111.34484476603,95129.70518094671,2475.73508848174,94260.98189825538,92999.81903896379,3273.670192475494,90799.02571599817,90233.99448053991,6494.149697538116,3474.7429944598503,3055.3178279715175,1473.2880507022444,3633.517649914732,3232.5173571245673,1370.649035930483,3083.564054208949,3254.670690198408,1481.8371309245797,3024.589081962729,3194.667571815886,1263.4163670453097,2270611470815.9385,2024127203552.8315,461791242915.7783,1906547144734.629,2017705762304.0334,613709685978.6182,1959199279791.2656,2008214842081.79,563304895557.9055,1911562342232.8672,1975697490631.4978,496027855736.7292,64.70923975105542,5336.780218349013,5759.162041362127,-422.3818230131137,1853.6495579287148,3045.0361330827122,0.997219037005239,0.009556779745855521,0.009817712351859785,96170.73566599475,96666.004393086,2138873331168.2688,91798.21404384292,94749.6371475018,2783956739956.929,94285.27104790804,98567.62400727392,1567796693856.3608,98441.26161000448,98441.26161000448,2495280837909.563,491.1279476998456,0.019318668155468337,-0.002714685855985284,1.0982767881851585,1.1123242843219414,-0.0016176241829907172,1,10,78708514221.77571,7040971980.031478,0.7069802586904952,-0.02573044327011731
2024-11-29,95491.15372866431,98658.9345586154,95491.15372866431,97229.63977566083,1924435307349.7732,1486312435655.8755,97508.58607262664,0.018205728793856492,0.01595415979670811,3167.78082995108,0.03317355279790889,1738.4860469965206,1429.2947829545592,0.0,96363.70221535064,96300.20035425815,787.3925098419186,95034.91834756058,95961.4543687319,2096.139275822404,95879.36964420867,95654.68882962524,2240.916927362623,94688.89156063231,93563.79513719007,3239.615352008475,91786.95622838664,90869.96223464182,5741.909547909984,3251.16944741545,3111.5493289612987,1441.024897250873,3737.0528222713647,3210.938514733405,1295.2729193169532,3230.77179153972,3232.948225136576,1422.1511959862241,2946.68798945972,3191.0826729005785,1214.1516775418413,1838063369382.254,1755219819604.3535,329249400234.3156,1973188708392.0103,1840574653421.3142,522798812473.24567,1813180635037.1821,1877739240475.3115,528611022572.16406,1858278783571.7058,1910446149968.0815,498983237756.81836,66.86582794496388,5218.977785760377,5651.125190241777,-432.1474044814004,3167.78082995108,2965.776641323017,0.7723369187726781,0.014487231078959042,0.018205728793856492,95690.73120439636,96614.05040446683,1889004341322.6172,96170.73566599475,96666.004393086,2138873331168.2688,91798.21404384292,94749.6371475018,2783956739956.929,98853.46617956244,99531.18012036204,2508442948934.4585,818.7246956929271,0.03317355279790889,0.018205728793856492,1.210905413714225,0.8595134486130139,0.018985280592253594,15,0,61929684818.99481,7226849376.401716,0.3172166040529375,-0.2676196653260039
2024-11-30,97508.58607262664,97508.58607262664,96295.48312358868,96383.4083126522,1908577775423.5476,1499334340458.0645,97837.5424412206,-0.011539268543350427,-0.008741527082385403,1213.1029490379588,0.012440985946964831,1125.1777599744382,0.0,87.92518906352052,96434.59309756978,96341.80433345518,770.7300495846152,95454.54580050941,96102.105683372,2118.443861087405,95677.60365791932,95836.86870038198,2098.680112380378,95108.06755464744,93939.74356058502,3030.9433930529876,92726.8660769198,91371.18460537003,4651.323079447033,2078.1777789725843,2162.3261389996287,996.4944034296379,2961.022552473718,2544.9933261682568,1434.473192813982,3221.210289794671,2727.9869061119216,1437.5935745784057,2958.676465729448,2927.3520430522294,1194.604173047122,1624883705812.1858,1627277080031.209,228827828460.60428,1959496237712.3508,1726827882433.5645,536780274201.6476,1788340357112.4407,1783138015470.9998,540241902740.103,1843351632000.3796,1855631242033.4126,506877914901.05975,64.53058097360778,4999.701258497807,5520.840403892983,-521.1391453951755,1213.1029490379588,2977.765117592745,0.7855767576070277,0.011539268543350427,0.0009130769815098652,97229.63977566083,98658.9345586154,1486312435655.8755,95690.73120439636,96614.05040446683,1889004341322.6172,96170.73566599475,96666.004393086,2138873331168.2688,97795.77021667769,98907.83827505098,1673216285931.2554,277.71255398317044,0.012440985946964831,-0.011539268543350427,1.2180222078328227,1.3439268372687598,-0.010845129437315124,0,12,62472264185.752686,11745214935.392687,0.4099135089711229,0.8230476263489472
2024-12-01,96449.75251537088,97837.5424412206,96004.87965292305,97755.0754151402,1931837204996.032,1019744081944.5099,97921.26065528078,0.013533709166970618,0.014131046059004504,1832.662788297559,0.01900121815248301,1305.3228997693222,82.46702608039777,444.872862447839,97122.7078344844,97048.43987429769,692.0574326197953,96645.91807476888,96653.0955939614,833.3745682359016,95616.15363794217,96316.42037907154,2017.7560916915904,95692.37670751134,94448.45447452572,2646.263094742646,93543.77280299777,91951.53831534913,3852.9527391100087,2071.1821890955325,1997.4944636485939,998.9294434295722,2559.854815916374,2307.549813544691,1407.9597032710806,3104.4328355274774,2504.155876658331,1522.4156119340023,2920.104178531507,2781.3934757516067,1223.3531490507125,1335130286019.4836,1323510580987.8594,273210057998.94296,1606653706109.8672,1491133282270.5464,428206137584.0669,1769288852051.8035,1592289532089.3772,568014517287.5624,1833211659838.091,1744179620688.2256,522734958889.5939,66.56868474101155,4880.3474945048365,5392.741822015354,-512.3943275105175,1832.662788297559,2939.192830394804,0.5278623267567748,0.0008428975628649174,0.01823027921647807,96383.4083126522,97508.58607262664,1499334340458.0645,97229.63977566083,98658.9345586154,1486312435655.8755,95690.73120439636,96614.05040446683,1889004341322.6172,98185.22555498005,98553.76752974807,1153104617368.969,494.9055538709254,0.01900121815248301,0.013533709166970618,1.2056808201404725,0.9135926592473531,0.012114130078278053,22,3,42489336747.687904,5873335434.954656,-0.059376150723526505,-0.8102974442301258
